ID;Title;Price;Postage;Sell_Date;Location;Condition;Product_Type;Product_Line;Brand;Screen_Size;Screen_Resolution;Storage_Type;Storage_Capacity;Model;Operating_System;Operating_System_Edition;RAM_Memory;Processor;Processor_Speed;Seller;Seller_Notes;URL
1463;Acer Predator Gaming 15 G9-593 Core i7-6700U 16GB 1TB+128GB SSD GeForce GTX 1070;899.00;33.64;28-Apr 00:09;WEYBRIDGE, Surrey, United Kingdom;Used;Gaming Laptop;;Acer;15.6 in;1920 x 1080;HDD + SSD;;Acer Predator G9-593;Windows 10;;16 GB;Intel Core i7 6th Gen.;3.50 GHz;value.factory;Lovely condition - free from scratches - clean inside and out.;https://www.ebay.co.uk/itm/Acer-Predator-Gaming-15-G9-593-Core-i7-6700U-16GB-1TB-128GB-SSD-GeForce-GTX-1070-/164158541169?hash=item26389c8d71%3Ag%3AU3cAAOSwJrdekxU1&nma=true&si=kJmy2lE2k1q3rnvzB8mCp%252BKlkJI%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
1464;Dell Latitude E7440  i7-4600U @ 2.10GHz, 256GB SSD, 16GB DDR3, FullHD;250.00;21.51;28-Apr 00:09;Gloucester, Gloucestershire, United Kingdom;Used;Notebook/Laptop;;Dell;14 in;1920 x 1080;SSD (Solid State Drive);;Dell Latitude E7440;Windows 10;;16 GB;Intel Core i7 4th Gen.;2.10 GHz;glosit.ltd;Used with some signs of wear and tear. Please see the photos for more details;https://www.ebay.co.uk/itm/Dell-Latitude-E7440-i7-4600U-2-10GHz-256GB-SSD-16GB-DDR3-FullHD-/324147457764?hash=item4b78b1aee4%3Ag%3Ak0AAAOSwcLlepeDj&nma=true&si=0Is1Wm58MpccX3KK3LpGBhWLWmY%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
1465;DELL INSPIRON 13 7391 2in1 CORE I7 10510U 16GB 500GB SSD 4k Touch BLACK  SDQT2;895.00;35.00;28-Apr 00:09;BRIGHOUSE, West Yorkshire, United Kingdom;Seller refurbished;Convertible 2-in-1 Laptop/Tablet;Inspiron;Dell;"13.3"" 4K UHD+";3840 x 2400;SSD (Solid State Drive);;Dell INSPIRON 13 2-in-1 7391;Windows 10;Professional;16 GB;Intel Core i7 10th Gen.;1.80 GHz;fyldirect;Refurbished Laptop, These dell laptops are in as new condition. They are refurbished so you may expect there to be the odd mark.;https://www.ebay.co.uk/itm/DELL-INSPIRON-13-7391-2in1-CORE-I7-10510U-16GB-500GB-SSD-4k-Touch-BLACK-SDQT2-/133380610458?hash=item1f0e1a999a%3Ag%3Aj70AAOSwm-deiywx&nma=true&si=nM%252BVbSikt473srY4o%252B9324UcAFo%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
1466;"Dell Inspiron 5567 Laptop - Intel Core i7-7500U, 15.6"" HD, 500GB SSD, 16GB RAM";449.00;;25-Apr 16:09;Edinburgh, United Kingdom;Used;Notebook/Laptop;;Dell;15.6 in;;SSD (Solid State Drive);;Dell Inspiron 15 5567;Windows 10;;16 GB;Intel Core i7 7th Gen.;2.40 GHz;jezwebb;As new condition. Factory reset and in full working order.;https://www.ebay.co.uk/itm/Dell-Inspiron-5567-Laptop-Intel-Core-i7-7500U-15-6-034-HD-500GB-SSD-16GB-RAM-/174260897645?hash=item2892c2476d%3Ag%3ALoUAAOSwhl1eoymp&nma=true&si=kr4xP5gU2MEQPwZUeiTReWgkrMY%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
1467;"Dell Inspiron 17 7786 2-in-1 CORE I7 8565U 16GB 250GB 2GB MX250 17.3"" FHD QGFT2";720.00;35.00;28-Apr 00:09;BRIGHOUSE, West Yorkshire, United Kingdom;Seller refurbished;Notebook/Laptop;Inspiron;Dell;"17.3"" FHD";;SSD (Solid State Drive);;Dell Inspiron 17 7786;Windows 10;Professional;16GB;Intel Core i7 8th Gen.;1.80GHZ;fyldirect;Refurbished Laptop, These dell laptops are in as new condition.;https://www.ebay.co.uk/itm/Dell-Inspiron-17-7786-2-in-1-CORE-I7-8565U-16GB-250GB-2GB-MX250-17-3-034-FHD-QGFT2-/143517523234?hash=item216a4f9d22%3Ag%3A1cUAAOSwlS1clODy&nma=true&si=Ka8PCzW%252BfwsED%252FvynGC8YFufqBo%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
1468;Dell XPS 15 7590 Core i7 9750H 16GB DDR4 512GB SSD 4GB GTX1650 4K TOUCH CX4KYY2;1495.00;35.00;28-Apr 00:09;BRIGHOUSE, West Yorkshire, United Kingdom;Manufacturer refurbished;Notebook/Laptop;XPS;Dell;"15.6"" 4K UHD TOUCH SCREEN";3840 x 2160;SSD (Solid State Drive);;Dell XPS 15 7590;Windows 10;HOME;16 GB;Intel Core i7 9th Gen.;2.60 GHz;fyldirect;Refurbished Laptop, These dell laptops are in as new condition. They are refurbished so you may expect there to be the odd mark.;https://www.ebay.co.uk/itm/Dell-XPS-15-7590-Core-i7-9750H-16GB-DDR4-512GB-SSD-4GB-GTX1650-4K-TOUCH-CX4KYY2-/133394409086?hash=item1f0eed267e%3Ag%3AwXwAAOSwVwtbavl9&nma=true&si=5WosNl9LjHQDSkAuao0zq5Ezn3k%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
1469;"17.3"" SAMSUNG NP550P7C Gaming Laptop i7 16GB 128GB SSD + 1TB GeForce JBL Blu ray";695.00;29.62;28-Apr 00:09;UK, United Kingdom;Seller refurbished;Notebook/Laptop;;Samsung;17.3 in;;HDD + SSD;;SAMSUNG NP550P7C;Windows 10;Home;16 GB;Intel Core i7 3rd Gen.;Turbo up to 3.4GHz;goldtech_computers;Item Condition - see item description below. 90 Days Warranty. Essential Set Up Service is Free of Charge. Extended warranties Available. Fully Refurbished. Upgraded & Maxed out System RAM, Storage Drive or Performance. Works fast & reliable. Best Regards GoldTech Computers Worldwide Services.;https://www.ebay.co.uk/itm/17-3-034-SAMSUNG-NP550P7C-Gaming-Laptop-i7-16GB-128GB-SSD-1TB-GeForce-JBL-Blu-ray-/164170737225?hash=item263956a649%3Ag%3A86YAAOSwGyteoKF8&nma=true&si=Hn7X4BeUfvf%252FnMkKs69IibDwz%252Bc%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
1470;"HP EliteBook 840 G4, Intel Core i7 7500U, 16GB, 256GB SSD, 14"" Laptop";430.00;24.50;28-Apr 00:09;Colchester, United Kingdom;Seller refurbished;Notebook/Laptop;;HP;14in;;SSD;;;Windows 10;;;Intel Core i7 7500U;;sebago-uk;;https://www.ebay.co.uk/itm/HP-EliteBook-840-G4-Intel-Core-i7-7500U-16GB-256GB-SSD-14-034-Laptop-/254576515425?hash=item3b45f15961%3Ag%3ApOYAAOSwc15eoExh&nma=true&si=yYLplhfC92HGcdqWkKbY4BukTts%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
1471;"Microsoft Surface Book 2 13.5"" i7-8650U DDR3 512 GB SSD Win 10 Pro GTX 1050";1679.00;;28-Apr 00:09;Peterborough, Cambridgeshire, United Kingdom;New;Notebook/Laptop;;Microsoft;13.5 in;3000 x 2000;SSD (Solid State Drive);;Microsoft Surface Book 2;Windows 10;Professional;16 GB;Intel Core i7 8th Gen.;1.90 GHz;dgeltd;;https://www.ebay.co.uk/itm/Microsoft-Surface-Book-2-13-5-034-i7-8650U-DDR3-512-GB-SSD-Win-10-Pro-GTX-1050-/174229862279?hash=item2890e8b787%3Ag%3AxboAAOSwTZ9eQoLN&nma=true&si=OFEwNX4cX%252Fr3zMjNz6zwISSxbZY%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
1472;HP EliteBook 8570w workstation i7 CPU @ 2.70GHz 8 processors, 16GB RAM, 256SSD;400.00;;28-Apr 00:09;Luton, United Kingdom;Seller refurbished;Notebook/Laptop;;HP;15.6 in;1920 x 1080;SSD (Solid State Drive);;HP EliteBook 8570W;Windows 10 Pro;;16 GB;Intel(R) Core(TM) i7-3630QM;2.70 GHz;edura-2795;;https://www.ebay.co.uk/itm/HP-EliteBook-8570w-workstation-i7-CPU-2-70GHz-8-processors-16GB-RAM-256SSD-/174263530469?hash=item2892ea73e5%3Ag%3AyK0AAOSwiI1epKVc&nma=true&si=v%252BxA1PsYBhaNzOXCcbJlBa3ssUo%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
